#
Additional constant subtracted from data: 0.000000
         q              I             Err
   0.1375920027   0.0002705460   0.0000326524
   0.1383720040   0.0002638500   0.0000326159
   0.1391510069   0.0002835190   0.0000322300
   0.1399299949   0.0002925960   0.0000324222
   0.1407089978   0.0002649010   0.0000342092
   0.1414889991   0.0002515810   0.0000347880
   0.1422680020   0.0002622790   0.0000324405
   0.1430470049   0.0002364430   0.0000330152
   0.1438259929   0.0002465950   0.0000318946
   0.1446049958   0.0001942400   0.0000316797
   0.1453849971   0.0002755000   0.0000309429
   0.1461640000   0.0002684790   0.0000332925
   0.1469430029   0.0002607180   0.0000308248
   0.1477220058   0.0001921350   0.0000310466
   0.1485009938   0.0002827070   0.0000328683
   0.1492809951   0.0002344450   0.0000309492
   0.1500599980   0.0002171040   0.0000301392
   0.1508390009   0.0002197730   0.0000298071
   0.1516180038   0.0002227430   0.0000292866
   0.1523970068   0.0002029960   0.0000303131
   0.1531759948   0.0001521530   0.0000295655
   0.1539559960   0.0002120050   0.0000317018
   0.1547349989   0.0002104020   0.0000317469
   0.1555140018   0.0002079780   0.0000353178
   0.1562930048   0.0001930950   0.0000311497
   0.1570719928   0.0001446660   0.0000294574
   0.1578509957   0.0001788060   0.0000331475
   0.1586299986   0.0001970030   0.0000311995
   0.1594099998   0.0001827760   0.0000310306
   0.1601890028   0.0001806120   0.0000318067
   0.1609680057   0.0001602000   0.0000431272
   0.1617469937   0.0001193500   0.0000301864
   0.1625259966   0.0001148290   0.0000294430
   0.1633049995   0.0001493130   0.0000330966
   0.1640840024   0.0001674550   0.0000295490
   0.1648630053   0.0001654300   0.0000297780
   0.1656419933   0.0001587890   0.0000289071
   0.1664209962   0.0001712970   0.0000340845
   0.1671999991   0.0001267770   0.0000295646
   0.1679790020   0.0001441670   0.0000296327
   0.1687580049   0.0001076970   0.0000319249
   0.1695369929   0.0000579380   0.0000315380
   0.1703159958   0.0001059620   0.0000365791
   0.1710949987   0.0000889780   0.0000296246
   0.1718740016   0.0001370300   0.0000314068
   0.1726530045   0.0000227150   0.0000312137
   0.1734320074   0.0000921360   0.0000363979
   0.1742109954   0.0000675970   0.0000292510
   0.1749899983   0.0000804690   0.0000348735
   0.1757690012   0.0000962750   0.0000294433
   0.1765480042   0.0000584750   0.0000335686
   0.1773270071   0.0000467830   0.0000455822
   0.1781059951   0.0000691090   0.0000331057
   0.1788849980   0.0000949700   0.0000393920
   0.1796640009   0.0000401990   0.0000400830
   0.1804430038   0.0000703870   0.0000344961
   0.1812220067   0.0000602040   0.0000424550
   0.1820009947   0.0000549510   0.0000363962
   0.1827799976   0.0001013730   0.0000293067
   0.1835590005   0.0000939030   0.0000301413
   0.1843380034   0.0000555710   0.0000287069
   0.1851170063   0.0000613140   0.0000307862
   0.1858959943   0.0000285460   0.0000329944
   0.1866739988  -0.0000340280   0.0000283608
   0.1874530017   0.0000740890   0.0000297769
   0.1882320046   0.0000221640   0.0000326254
   0.1890109926   0.0000147340   0.0000295403
   0.1897899956   0.0000183150   0.0000297792
   0.1905689985   0.0000296790   0.0000299030
   0.1913480014   0.0000638200   0.0000323148
   0.1921260059   0.0000802610   0.0000357843
   0.1929049939   0.0000783530   0.0000324517
   0.1936839968   0.0000639460   0.0000337931
   0.1944629997   0.0000015170   0.0000303237
   0.1952420026   0.0000283690   0.0000329003
   0.1960210055  -0.0000020650   0.0000306792
   0.1967989951   0.0000515410   0.0000298947
   0.1975779980   0.0000188860   0.0000305528
   0.1983570009   0.0000491600   0.0000361814
   0.1991360039  -0.0000028460   0.0000349323
   0.1999139935   0.0000538520   0.0000302389
   0.2006929964   0.0000620810   0.0000372069
   0.2014719993   0.0000374550   0.0000309876
   0.2022510022   0.0000425570   0.0000343950
   0.2030290067   0.0000298990   0.0000354573
   0.2038079947   0.0000320010   0.0000334159
   0.2045869976   0.0000268480   0.0000311013
   0.2053660005   0.0001012100   0.0000397730
   0.2061440051   0.0000433450   0.0000316270
   0.2069229931   0.0000337550   0.0000336834
   0.2077019960   0.0000111310   0.0000337955
   0.2084800005   0.0000487490   0.0000332906
   0.2092590034   0.0000508500   0.0000313250
   0.2100380063   0.0000345770   0.0000317287
   0.2108159959  -0.0000079490   0.0000462298
   0.2115949988   0.0000898540   0.0000383303
   0.2123740017   0.0000236930   0.0000398485
   0.2131520063   0.0000017560   0.0000339827
   0.2139309943   0.0000563310   0.0000335709
   0.2147099972   0.0000091380   0.0000425296
   0.2154880017   0.0000104740   0.0000381894
   0.2162670046   0.0000286660   0.0000425429
   0.2170449942   0.0000392770   0.0000359106
   0.2178239971   0.0000158960   0.0000385080
   0.2186030000   0.0000400700   0.0000316782
   0.2193810046   0.0000739780   0.0000324690
   0.2201599926   0.0000114070   0.0000329620
   0.2209379971   0.0000589080   0.0000356311
   0.2217170000   0.0000963810   0.0000379590
   0.2224950045   0.0000372550   0.0000398026
   0.2232740074   0.0000326350   0.0000427088
   0.2240519971   0.0000230830   0.0000370917
   0.2248310000   0.0000886930   0.0000367396
   0.2256090045   0.0000598990   0.0000371908
   0.2263880074   0.0000702620   0.0000411553
   0.2271659970   0.0001271400   0.0000416057
   0.2279449999   0.0000972620   0.0000432184
   0.2287230045  -0.0000254580   0.0000388908
   0.2295020074   0.0000173060   0.0000438384
   0.2302799970   0.0000879090   0.0000480935
   0.2310589999  -0.0000407890   0.0000398075
   0.2318370044   0.0000829010   0.0000403603
   0.2326160073   0.0000326470   0.0000417557
   0.2333939970   0.0000533050   0.0000472927
   0.2341720015   0.0001236930   0.0000479555
   0.2349510044   0.0000096320   0.0000479853
   0.2357289940   0.0000439710   0.0000433385
   0.2365079969   0.0001134170   0.0000442761
   0.2372860014   0.0000651490   0.0000438681
   0.2380640060   0.0000997580   0.0000453636
   0.2388429940  -0.0000003120   0.0000526080
   0.2396209985   0.0000144410   0.0000454422
   0.2403990030   0.0000050470   0.0000468438
   0.2411780059   0.0000338270   0.0000494724
   0.2419559956   0.0001131610   0.0000469077
   0.2427340001   0.0000464890   0.0000496520
   0.2435130030   0.0000641980   0.0000486384
   0.2442909926  -0.0000242440   0.0000499344
   0.2450689971   0.0000227770   0.0000754065
   0.2458480000   0.0000500750   0.0000492696
   0.2466260046  -0.0000293500   0.0000494641
   0.2474039942  -0.0000115390   0.0000525265
   0.2481819987   0.0000566680   0.0000510855
   0.2489610016   0.0000198810   0.0000521185
   0.2497390062   0.0000532340   0.0000518100
   0.2505170107   0.0000100520   0.0000541165
   0.2512950003   0.0001131150   0.0000639310
   0.2520740032   0.0000598030   0.0000554575
   0.2528519928   0.0000250080   0.0000538700
   0.2536300123   0.0000110650   0.0000572815
   0.2544080019   0.0000392920   0.0000593330
   0.2551859915  -0.0000556620   0.0000784395
   0.2559640110   0.0001030740   0.0000583990
   0.2567430139   0.0000221290   0.0000581385
   0.2575210035   0.0000855130   0.0000583330
   0.2582989931   0.0000291960   0.0000590445
   0.2590770125   0.0000304170   0.0000785080
   0.2598550022   0.0001310550   0.0000643825
   0.2606329918   0.0000155650   0.0000618380
   0.2614110112   0.0000256220   0.0000635015
   0.2621890008   0.0000191850   0.0000615270
   0.2629669905   0.0001020770   0.0000640950
   0.2637459934   0.0001563950   0.0000659950
   0.2645240128   0.0000209170   0.0000679570
   0.2653020024   0.0000233440   0.0000909060
   0.2660799921   0.0000767540   0.0000688520
   0.2668580115   0.0000910730   0.0000672320
   0.2676360011  -0.0000333900   0.0000726925
   0.2684139907  -0.0000504250   0.0000730825
   0.2691920102   0.0001208400   0.0000753145
   0.2699699998  -0.0000280480   0.0000758230
   0.2707479894  -0.0000828320   0.0000773080
   0.2715260088   0.0000955660   0.0000770375
   0.2723039985   0.0000906380   0.0000800935
   0.2730819881   0.0000661450   0.0000793660
   0.2738589942   0.0000626970   0.0000831815
   0.2746370137   0.0000070620   0.0000826620
   0.2754150033   0.0000866950   0.0000835820
   0.2761929929   0.0000890430   0.0000870465
   0.2769710124  -0.0000394140   0.0001043050
   0.2777490020   0.0001944660   0.0000885965
   0.2785269916   0.0000846080   0.0000936925
   0.2793050110   0.0000830850   0.0000978965
   0.2800830007   0.0000393520   0.0000926335
   0.2808600068   0.0000814680   0.0001002080
   0.2816379964   0.0000738030   0.0001021165
   0.2824159861  -0.0002981280   0.0001006830
   0.2831940055   0.0001453730   0.0001030110
   0.2839719951  -0.0000240010   0.0001075725
   0.2847500145  -0.0000054960   0.0001799075
   0.2855269909  -0.0000849790   0.0001941790
   0.2863050103   0.0003398080   0.0001186310
   0.2870829999   0.0000207000   0.0001144010
   0.2878609896   0.0000537670   0.0001213935
   0.2886379957  -0.0001253400   0.0001273490
   0.2894159853   0.0001603090   0.0001323370
   0.2901940048   0.0000299770   0.0001396530
   0.2909710109   0.0000227820   0.0001272180
   0.2917490005   0.0000164330   0.0001480285
   0.2925269902  -0.0001040590   0.0001519580
   0.2933050096  -0.0001563500   0.0001366655
   0.2940819860  -0.0002307200   0.0001508690
   0.2948600054  -0.0001520860   0.0001515460
   0.2956370115  -0.0000039570   0.0001611625
   0.2964150012   0.0004432900   0.0001574570
   0.2971929908   0.0003254760   0.0001605785
   0.2979699969  -0.0000193320   0.0001656975
   0.2987479866   0.0002495120   0.0001665270
   0.2995260060   0.0003565940   0.0001861570
   0.3003030121   0.0001179580   0.0001813955
   0.3010810018  -0.0001271670   0.0001910870
   0.3018580079  -0.0000146650   0.0002437570
   0.3026359975   0.0000426240   0.0002361915
   0.3034130037   0.0001138860   0.0002408365
   0.3041909933  -0.0001660660   0.0002529775
   0.3049679995  -0.0000681940   0.0002496185
   0.3057459891  -0.0003682310   0.0002817590
   0.3065229952  -0.0006069670   0.0003316495
   0.3073010147   0.0006316820   0.0003411865
   0.3080779910   0.0002102160   0.0002960795
   0.3088560104   0.0000355200   0.0004758985
   0.3096329868   0.0002565770   0.0006257900
   0.3104110062  -0.0005889100   0.0008790200
   0.3104110062  -0.0005889100   0.0008790200

